"stopPK","sourceStopID","stopName","stopLat","stopLon"
415,B03568P,Sbr. Gg. Swadaya Pagelarang,-6.302718,106.91662
416,B00642P,Gereja Tiberias Kelapa Gading,-6.151141,106.90404
417,B02046P,Komplek Keuangan Saaba,-6.215101,106.73151
418,B01472P,Jln. Pepaya V Jagakarsa,-6.320652,106.81847
419,P00056,Explorer Tanah Abang,-6.184305,106.81158
420,B00648P,GKJ Tj. Priok,-6.105058,106.93214
421,B04303P,Sbr. Rukan Balai Pustaka,-6.198728,106.88593
422,B04678P,Senopati,-6.230687,106.80809
423,B01089P,Jln. H Briti B,-6.186247,106.75508
424,B01974P,Kesatrian Kowal Cut Nyak Dhien,-6.194307,106.81436
425,B00195P,Buaran Plaza,-6.217983,106.9235
426,B01074P,Jln. Gambas Kodam Bintaro,-6.259766,106.7573
427,B00166P,Boulevard Bukit Gading Raya,-6.15515,106.89579
428,P00136,Mayestik,-6.241921,106.79077
429,B05852P,Versailles,-6.308405,106.67367
430,B04108P,Sbr. MTsN 7 Model Jakarta,-6.321445,106.88334
431,B00198P,Budhaya Santo Agustinus,-6.220866,106.92346
432,P00191,PTC Pulo Gadung,-6.182622,106.91561
433,B04521P,Sbr. Taman BMW,-6.12629,106.85763
434,B00226P,Buperta Cibubur,-6.370321,106.89628
435,B02311P,Masjid Jami Al Hidayah Tomang,-6.171444,106.79616
436,B06034P,Masjid Cut Nyak Dien,-6.1874,106.8317
437,B06659P,Polsek Penjaringan,-6.125179,106.80118
438,B00693P,Grand Pasar Minggu,-6.290648,106.84236
439,B00396P,Gg. Aim 2,-6.200395,106.93515
440,B00568P,Gg. Tamansari Ragunan,-6.305488,106.81614
441,P00090,Jembatan Dua,-6.143279,106.79352
442,B02751P,Permata Hijau 1,-6.22257,106.79028
443,B01994P,Klinik Otista,-6.227394,106.86709
444,B01277P,Jln. Kesadaran Pool Bus 1,-6.182475,106.91309
445,B00113P,Bank Indonesia 2,-6.182667,106.82275
446,B02307P,Masjid Jami Al Barkah 1,-6.229411,106.91212
447,B02566P,Pangkalan Jati,-6.24762,106.90755
448,B00875P,Jln. Asmin 2,-6.308725,106.87205
449,B04647P,Sekolah Penabur Gunung Sahari,-6.170053,106.84024
450,P00085,Jati Padang,-6.285431,106.82626
451,B04664P,Sekolah Yanindo Jakarta,-6.119479,106.86699
452,P00256,MH Thamrin,-6.188149,106.82299
453,B00191P,BSI 2,-6.237609,106.76252
454,B05802P,Transvision,-6.240036,106.82842
455,P00291,Harmoni Arah Utara,-6.162678,106.819663
456,B00168P,Boulevard Inspeksi Kali Sunter,-6.151094,106.88901
457,B01516P,Jln. Primanota,-6.168008,106.91097
458,B03041P,Puskesmas Cengkareng,-6.144546,106.72866
459,B00522P,Gg. Musholla Ragunan,-6.308196,106.81588
460,B02266P,Masjid Ar Rayyan Kementerian BUMN,-6.183117,106.82536
461,B02506P,Mushola Al Achyar Cipete,-6.262158,106.80415
462,B00694P,Grand Sahid,-6.210975,106.82059
463,B04202P,Sbr. PGP,-6.203448,106.93456
464,B04937P,Simpang Kepu Kesadaran,-6.181283,106.91461
465,B05698P,Tempo Scan,-6.235112,106.82885
